SRA,Sample name,BioSample,Organism,Accession,ID
SRS24287968,VXV20186,SAMN44769303,human skin metagenome,SAMN44769303,44769303
SRS24287957,VXV20184,SAMN44769302,human skin metagenome,SAMN44769302,44769302
SRS24287947,VXV20182,SAMN44769301,human skin metagenome,SAMN44769301,44769301
SRS24287925,VXV20181,SAMN44769300,human skin metagenome,SAMN44769300,44769300
SRS24287924,VXV20180,SAMN44769299,human skin metagenome,SAMN44769299,44769299
SRS24336729,VXV20179,SAMN44769298,human skin metagenome,SAMN44769298,44769298
SRS24336728,VXV20178,SAMN44769297,human skin metagenome,SAMN44769297,44769297
SRS24336725,VXV20177,SAMN44769296,human skin metagenome,SAMN44769296,44769296
SRS24336586,VXV20175,SAMN44769295,human skin metagenome,SAMN44769295,44769295
SRS24336584,VXV20174,SAMN44769294,human skin metagenome,SAMN44769294,44769294
SRS24336583,VXV20173,SAMN44769293,human skin metagenome,SAMN44769293,44769293
SRS24336585,VXV20172,SAMN44769292,human skin metagenome,SAMN44769292,44769292
SRS24336582,VXV20171,SAMN44769291,human skin metagenome,SAMN44769291,44769291
SRS24336581,VXV20170,SAMN44769290,human skin metagenome,SAMN44769290,44769290
SRS24336579,VXV20169,SAMN44769289,human skin metagenome,SAMN44769289,44769289
SRS24336578,VXV20168,SAMN44769288,human skin metagenome,SAMN44769288,44769288
SRS24336577,VXV20166,SAMN44769287,human skin metagenome,SAMN44769287,44769287
SRS24336576,VXV20165,SAMN44769286,human skin metagenome,SAMN44769286,44769286
SRS24336575,VXV20164,SAMN44769285,human skin metagenome,SAMN44769285,44769285
SRS24336574,VXV20163,SAMN44769284,human skin metagenome,SAMN44769284,44769284
SRS24336573,VXV20162,SAMN44769283,human skin metagenome,SAMN44769283,44769283
SRS24336572,VXV20161,SAMN44769282,human skin metagenome,SAMN44769282,44769282
SRS24336571,VXV20160,SAMN44769281,human skin metagenome,SAMN44769281,44769281
SRS24336570,VXV20159,SAMN44769280,human skin metagenome,SAMN44769280,44769280
SRS24336568,VXV20101,SAMN44769279,human skin metagenome,SAMN44769279,44769279
SRS24336567,VXV20100,SAMN44769278,human skin metagenome,SAMN44769278,44769278
SRS24336566,VXV20099,SAMN44769277,human skin metagenome,SAMN44769277,44769277
SRS24336565,VXV20097,SAMN44769276,human skin metagenome,SAMN44769276,44769276
SRS24336563,VXV20096,SAMN44769275,human skin metagenome,SAMN44769275,44769275
SRS24336564,VXV20095,SAMN44769274,human skin metagenome,SAMN44769274,44769274
SRS24336561,VXV20093,SAMN44769273,human skin metagenome,SAMN44769273,44769273
SRS24336562,VXV20092,SAMN44769272,human skin metagenome,SAMN44769272,44769272
SRS24336560,VXV19702,SAMN44769271,human skin metagenome,SAMN44769271,44769271
SRS24336558,VXV19701,SAMN44769270,human skin metagenome,SAMN44769270,44769270
SRS24336530,VXV19700,SAMN44769269,human skin metagenome,SAMN44769269,44769269
SRS24336529,VXV19699,SAMN44769268,human skin metagenome,SAMN44769268,44769268
SRS24336526,VXV19698,SAMN44769267,human skin metagenome,SAMN44769267,44769267
SRS24336527,VXV19697,SAMN44769266,human skin metagenome,SAMN44769266,44769266
SRS24336525,VXV19696,SAMN44769265,human skin metagenome,SAMN44769265,44769265
SRS24336524,VXV19695,SAMN44769264,human skin metagenome,SAMN44769264,44769264
SRS24336523,VXV19693,SAMN44769263,human skin metagenome,SAMN44769263,44769263
SRS24336521,VXV19692,SAMN44769262,human skin metagenome,SAMN44769262,44769262
SRS24336522,VXV19691,SAMN44769261,human skin metagenome,SAMN44769261,44769261
SRS24336520,VXV19690,SAMN44769260,human skin metagenome,SAMN44769260,44769260
SRS24336518,VXV19689,SAMN44769259,human skin metagenome,SAMN44769259,44769259
SRS24336517,VXV19688,SAMN44769258,human skin metagenome,SAMN44769258,44769258
SRS24336516,VXV19686,SAMN44769257,human skin metagenome,SAMN44769257,44769257
SRS24336514,VXV19685,SAMN44769256,human skin metagenome,SAMN44769256,44769256
SRS24336515,VXV19684,SAMN44769255,human skin metagenome,SAMN44769255,44769255
SRS24336512,VXV19683,SAMN44769254,human skin metagenome,SAMN44769254,44769254
SRS24336513,VXV19682,SAMN44769253,human skin metagenome,SAMN44769253,44769253
SRS24336511,VXV19681,SAMN44769252,human skin metagenome,SAMN44769252,44769252
SRS24336510,VXV19678,SAMN44769251,human skin metagenome,SAMN44769251,44769251
SRS24336509,VXV19677,SAMN44769250,human skin metagenome,SAMN44769250,44769250
SRS24336507,VXV19676,SAMN44769249,human skin metagenome,SAMN44769249,44769249
SRS24336505,VXV19675,SAMN44769248,human skin metagenome,SAMN44769248,44769248
SRS24336506,VXV19674,SAMN44769247,human skin metagenome,SAMN44769247,44769247
SRS24336504,VXV19673,SAMN44769246,human skin metagenome,SAMN44769246,44769246
SRS24336503,VXV19672,SAMN44769245,human skin metagenome,SAMN44769245,44769245
SRS24336815,VXV19671,SAMN44769244,human skin metagenome,SAMN44769244,44769244
SRS24336813,VXV19670,SAMN44769243,human skin metagenome,SAMN44769243,44769243
SRS24336811,VXV19669,SAMN44769242,human skin metagenome,SAMN44769242,44769242
SRS24336810,VXV19668,SAMN44769241,human skin metagenome,SAMN44769241,44769241
SRS24336812,VXV19667,SAMN44769240,human skin metagenome,SAMN44769240,44769240
SRS24336808,VXV19666,SAMN44769239,human skin metagenome,SAMN44769239,44769239
SRS24336806,VXV19665,SAMN44769238,human skin metagenome,SAMN44769238,44769238
SRS24336807,VXV19664,SAMN44769237,human skin metagenome,SAMN44769237,44769237
SRS24336805,VXV19663,SAMN44769236,human skin metagenome,SAMN44769236,44769236
SRS24336802,VXV19662,SAMN44769235,human skin metagenome,SAMN44769235,44769235
SRS24336804,VXV19661,SAMN44769234,human skin metagenome,SAMN44769234,44769234
SRS24336803,VXV19660,SAMN44769233,human skin metagenome,SAMN44769233,44769233
SRS24336800,VXV19659,SAMN44769232,human skin metagenome,SAMN44769232,44769232
SRS24336801,VXV19658,SAMN44769231,human skin metagenome,SAMN44769231,44769231
SRS24336799,VXV19656,SAMN44769230,human skin metagenome,SAMN44769230,44769230
SRS24336796,VXV19655,SAMN44769229,human skin metagenome,SAMN44769229,44769229
SRS24336797,VXV19654,SAMN44769228,human skin metagenome,SAMN44769228,44769228
SRS24336794,VXV19653,SAMN44769227,human skin metagenome,SAMN44769227,44769227
SRS24336793,VXV19652,SAMN44769226,human skin metagenome,SAMN44769226,44769226
SRS24336795,VXV19651,SAMN44769225,human skin metagenome,SAMN44769225,44769225
SRS24336792,VXV19650,SAMN44769224,human skin metagenome,SAMN44769224,44769224
SRS24336790,VXV19649,SAMN44769223,human skin metagenome,SAMN44769223,44769223
SRS24336789,VXV19648,SAMN44769222,human skin metagenome,SAMN44769222,44769222
SRS24336791,VXV19647,SAMN44769221,human skin metagenome,SAMN44769221,44769221
SRS24336788,VXV19646,SAMN44769220,human skin metagenome,SAMN44769220,44769220
SRS24336786,VXV19645,SAMN44769219,human skin metagenome,SAMN44769219,44769219
SRS24336727,VXV19644,SAMN44769218,human skin metagenome,SAMN44769218,44769218
SRS24336723,VXV19643,SAMN44769217,human skin metagenome,SAMN44769217,44769217
SRS24336721,VXV19642,SAMN44769216,human skin metagenome,SAMN44769216,44769216
SRS24336722,VXV19641,SAMN44769215,human skin metagenome,SAMN44769215,44769215
SRS24336720,VXV19640,SAMN44769214,human skin metagenome,SAMN44769214,44769214
SRS24336718,VXV19639,SAMN44769213,human skin metagenome,SAMN44769213,44769213
SRS24336717,VXV19638,SAMN44769212,human skin metagenome,SAMN44769212,44769212
SRS24336719,VXV19637,SAMN44769211,human skin metagenome,SAMN44769211,44769211
SRS24336716,VXV19636,SAMN44769210,human skin metagenome,SAMN44769210,44769210
SRS24336715,VXV19635,SAMN44769209,human skin metagenome,SAMN44769209,44769209
SRS24336711,VXV19632,SAMN44769208,human skin metagenome,SAMN44769208,44769208
SRS24336713,VXV19631,SAMN44769207,human skin metagenome,SAMN44769207,44769207
SRS24336710,VXV19630,SAMN44769206,human skin metagenome,SAMN44769206,44769206
SRS24336712,VXV19628,SAMN44769205,human skin metagenome,SAMN44769205,44769205
SRS24336709,VXV19627,SAMN44769204,human skin metagenome,SAMN44769204,44769204
SRS24336708,VXV19626,SAMN44769203,human skin metagenome,SAMN44769203,44769203
SRS24336707,VXV19625,SAMN44769202,human skin metagenome,SAMN44769202,44769202
SRS24336705,VXV19624,SAMN44769201,human skin metagenome,SAMN44769201,44769201
SRS24336706,VXV19623,SAMN44769200,human skin metagenome,SAMN44769200,44769200
SRS24336703,VXV19622,SAMN44769199,human skin metagenome,SAMN44769199,44769199
SRS24336702,VXV19621,SAMN44769198,human skin metagenome,SAMN44769198,44769198
SRS24336701,VXV19619,SAMN44769197,human skin metagenome,SAMN44769197,44769197
SRS24336700,VXV19618,SAMN44769196,human skin metagenome,SAMN44769196,44769196
SRS24336697,VXV19617,SAMN44769195,human skin metagenome,SAMN44769195,44769195
SRS24336500,VXV19616,SAMN44769194,human skin metagenome,SAMN44769194,44769194
SRS24336502,VXV19615,SAMN44769193,human skin metagenome,SAMN44769193,44769193
SRS24336501,VXV19614,SAMN44769192,human skin metagenome,SAMN44769192,44769192
SRS24336499,VXV19613,SAMN44769191,human skin metagenome,SAMN44769191,44769191
SRS24336498,VXV19612,SAMN44769190,human skin metagenome,SAMN44769190,44769190
SRS24336497,VXV19610,SAMN44769189,human skin metagenome,SAMN44769189,44769189
SRS24336494,VXV19607,SAMN44769188,human skin metagenome,SAMN44769188,44769188
SRS24336495,VXV19606,SAMN44769187,human skin metagenome,SAMN44769187,44769187
SRS24336493,VXV19605,SAMN44769186,human skin metagenome,SAMN44769186,44769186
SRS24336490,VXV19604,SAMN44769185,human skin metagenome,SAMN44769185,44769185
SRS24336492,VXV19603,SAMN44769184,human skin metagenome,SAMN44769184,44769184
SRS24336491,VXV19602,SAMN44769183,human skin metagenome,SAMN44769183,44769183
SRS24336489,VXV19601,SAMN44769182,human skin metagenome,SAMN44769182,44769182
SRS24336486,VXV19600,SAMN44769181,human skin metagenome,SAMN44769181,44769181
SRS24336488,VXV19599,SAMN44769180,human skin metagenome,SAMN44769180,44769180
SRS24336487,VXV19598,SAMN44769179,human skin metagenome,SAMN44769179,44769179
SRS24336483,VXV19597,SAMN44769178,human skin metagenome,SAMN44769178,44769178
SRS24336484,VXV19595,SAMN44769177,human skin metagenome,SAMN44769177,44769177
SRS24336482,VXV19594,SAMN44769176,human skin metagenome,SAMN44769176,44769176
SRS24336479,VXV19593,SAMN44769175,human skin metagenome,SAMN44769175,44769175
SRS24336480,VXV19592,SAMN44769174,human skin metagenome,SAMN44769174,44769174
SRS24336481,VXV19591,SAMN44769173,human skin metagenome,SAMN44769173,44769173
SRS24336478,VXV19590,SAMN44769172,human skin metagenome,SAMN44769172,44769172
SRS24336476,VXV19589,SAMN44769171,human skin metagenome,SAMN44769171,44769171
SRS24336477,VXV19588,SAMN44769170,human skin metagenome,SAMN44769170,44769170
SRS24336475,VXV19587,SAMN44769169,human skin metagenome,SAMN44769169,44769169
SRS24336787,VXV19586,SAMN44769168,human skin metagenome,SAMN44769168,44769168
SRS24336784,VXV19585,SAMN44769167,human skin metagenome,SAMN44769167,44769167
SRS24336782,VXV19582,SAMN44769166,human skin metagenome,SAMN44769166,44769166
SRS24336783,VXV19581,SAMN44769165,human skin metagenome,SAMN44769165,44769165
SRS24336781,VXV19580,SAMN44769164,human skin metagenome,SAMN44769164,44769164
SRS24336780,VXV19579,SAMN44769163,human skin metagenome,SAMN44769163,44769163
SRS24336778,VXV19578,SAMN44769162,human skin metagenome,SAMN44769162,44769162
SRS24336779,VXV19577,SAMN44769161,human skin metagenome,SAMN44769161,44769161
SRS24336777,VXV19576,SAMN44769160,human skin metagenome,SAMN44769160,44769160
SRS24336776,VXV19575,SAMN44769159,human skin metagenome,SAMN44769159,44769159
SRS24336775,VXV19574,SAMN44769158,human skin metagenome,SAMN44769158,44769158
SRS24336772,VXV19572,SAMN44769157,human skin metagenome,SAMN44769157,44769157
SRS24336773,VXV19571,SAMN44769156,human skin metagenome,SAMN44769156,44769156
SRS24336770,VXV19570,SAMN44769155,human skin metagenome,SAMN44769155,44769155
SRS24336771,VXV19568,SAMN44769154,human skin metagenome,SAMN44769154,44769154
SRS24336768,VXV19567,SAMN44769153,human skin metagenome,SAMN44769153,44769153
SRS24336769,VXV19566,SAMN44769152,human skin metagenome,SAMN44769152,44769152
SRS24336767,VXV19565,SAMN44769151,human skin metagenome,SAMN44769151,44769151
SRS24336766,VXV19564,SAMN44769150,human skin metagenome,SAMN44769150,44769150
SRS24336764,VXV19563,SAMN44769149,human skin metagenome,SAMN44769149,44769149
SRS24336765,VXV19562,SAMN44769148,human skin metagenome,SAMN44769148,44769148
SRS24336762,VXV19561,SAMN44769147,human skin metagenome,SAMN44769147,44769147
SRS24336761,VXV19560,SAMN44769146,human skin metagenome,SAMN44769146,44769146
SRS24336756,VXV19559,SAMN44769145,human skin metagenome,SAMN44769145,44769145
SRS24336759,VXV19558,SAMN44769144,human skin metagenome,SAMN44769144,44769144
SRS24336696,VXV19557,SAMN44769143,human skin metagenome,SAMN44769143,44769143
SRS24336699,VXV19556,SAMN44769142,human skin metagenome,SAMN44769142,44769142
SRS24336698,VXV19555,SAMN44769141,human skin metagenome,SAMN44769141,44769141
SRS24336695,VXV19554,SAMN44769140,human skin metagenome,SAMN44769140,44769140
SRS24336694,VXV19553,SAMN44769139,human skin metagenome,SAMN44769139,44769139
SRS24336690,VXV19552,SAMN44769138,human skin metagenome,SAMN44769138,44769138
SRS24336691,VXV19551,SAMN44769137,human skin metagenome,SAMN44769137,44769137
SRS24336692,VXV19550,SAMN44769136,human skin metagenome,SAMN44769136,44769136
SRS24336689,VXV19549,SAMN44769135,human skin metagenome,SAMN44769135,44769135
SRS24336688,VXV19548,SAMN44769134,human skin metagenome,SAMN44769134,44769134
SRS24336686,VXV19547,SAMN44769133,human skin metagenome,SAMN44769133,44769133
SRS24336687,VXV19546,SAMN44769132,human skin metagenome,SAMN44769132,44769132
SRS24336685,VXV19545,SAMN44769131,human skin metagenome,SAMN44769131,44769131
SRS24336683,VXV19544,SAMN44769130,human skin metagenome,SAMN44769130,44769130
SRS24336684,VXV19543,SAMN44769129,human skin metagenome,SAMN44769129,44769129
SRS24336681,VXV19542,SAMN44769128,human skin metagenome,SAMN44769128,44769128
SRS24336680,VXV19541,SAMN44769127,human skin metagenome,SAMN44769127,44769127
SRS24336679,VXV19540,SAMN44769126,human skin metagenome,SAMN44769126,44769126
SRS24336678,VXV19539,SAMN44769125,human skin metagenome,SAMN44769125,44769125
SRS24336677,VXV19535,SAMN44769124,human skin metagenome,SAMN44769124,44769124
SRS24336675,VXV19534,SAMN44769123,human skin metagenome,SAMN44769123,44769123
SRS24336676,VXV19533,SAMN44769122,human skin metagenome,SAMN44769122,44769122
SRS24336674,VXV19532,SAMN44769121,human skin metagenome,SAMN44769121,44769121
SRS24336672,VXV19531,SAMN44769120,human skin metagenome,SAMN44769120,44769120
SRS24336673,VXV19530,SAMN44769119,human skin metagenome,SAMN44769119,44769119
SRS24336559,VXV19529,SAMN44769118,human skin metagenome,SAMN44769118,44769118
SRS24336556,VXV19528,SAMN44769117,human skin metagenome,SAMN44769117,44769117
SRS24336555,VXV19527,SAMN44769116,human skin metagenome,SAMN44769116,44769116
SRS24336554,VXV19526,SAMN44769115,human skin metagenome,SAMN44769115,44769115
SRS24336553,VXV19525,SAMN44769114,human skin metagenome,SAMN44769114,44769114
SRS24336552,VXV19524,SAMN44769113,human skin metagenome,SAMN44769113,44769113
SRS24336551,VXV19523,SAMN44769112,human skin metagenome,SAMN44769112,44769112
SRS24336549,VXV19522,SAMN44769111,human skin metagenome,SAMN44769111,44769111
SRS24336550,VXV19521,SAMN44769110,human skin metagenome,SAMN44769110,44769110
SRS24336548,VXV19520,SAMN44769109,human skin metagenome,SAMN44769109,44769109
SRS24336546,VXV19519,SAMN44769108,human skin metagenome,SAMN44769108,44769108
